source_id,record_id,family_office_name,source_url,source_type,apify_matched,apify_crawled_url,is_pdf,markdown_chars,evidence_snippet,html_url,screenshot_url,notes
fo_001_src_01,fo_001,Cat Trail Capital,https://www.cattrail.com/,official_site,True,https://www.cattrail.com/,False,6629,"# Cat Trail Capital | Official Website [![logo](https://www.cattrail.com/_next/static/media/cat_logo.1e2c7c6c.svg)](https://www.cattrail.com/#) ![venn diagram](https://www.cattrail.com/_next/static/media/WhatWeDo.dc72fdb5.svg) ![line](https://www.cattrail.com/_next/static/media/line.svg.bd0ce3a3.svg) ### Investment Management Cat Trail takes strategic positions in publicly traded securities, makes placements with unique fund managers, manages a portfolio of real assets, and occasionally invests in small private companies.",,,Matched
fo_001_src_02,fo_001,Cat Trail Capital,https://www.cattrail.com/#About,official_site,True,https://www.cattrail.com/,False,6629,"# Cat Trail Capital | Official Website [![logo](https://www.cattrail.com/_next/static/media/cat_logo.1e2c7c6c.svg)](https://www.cattrail.com/#) ![venn diagram](https://www.cattrail.com/_next/static/media/WhatWeDo.dc72fdb5.svg) ![line](https://www.cattrail.com/_next/static/media/line.svg.bd0ce3a3.svg) ### Investment Management Cat Trail takes strategic positions in publicly traded securities, makes placements with unique fund managers, manages a portfolio of real assets, and occasionally invests in small private companies.",,,Matched by canonical URL without fragment
fo_001_src_03,fo_001,Cat Trail Capital,https://www.cattrail.com/#Team,official_site,True,https://www.cattrail.com/,False,6629,"# Cat Trail Capital | Official Website [![logo](https://www.cattrail.com/_next/static/media/cat_logo.1e2c7c6c.svg)](https://www.cattrail.com/#) ![venn diagram](https://www.cattrail.com/_next/static/media/WhatWeDo.dc72fdb5.svg) ![line](https://www.cattrail.com/_next/static/media/line.svg.bd0ce3a3.svg) ### Investment Management Cat Trail takes strategic positions in publicly traded securities, makes placements with unique fund managers, manages a portfolio of real assets, and occasionally invests in small private companies.",,,Matched by canonical URL without fragment
fo_002_src_01,fo_002,Ralph Family Office,https://www.ralphfamilyoffice.com/,official_site,True,https://www.ralphfamilyoffice.com/,False,6619,# Ralph Family Office | Private Investment Office Est.,,,Matched
fo_002_src_02,fo_002,Ralph Family Office,https://find-and-update.company-information.service.gov.uk/company/11031775,registry,True,https://find-and-update.company-information.service.gov.uk/company/11031775,False,405,# RALPH FAMILY OFFICE LIMITED overview - Find and update company information ## Cookies on Companies House services We use some essential cookies to make our services work.,,,Matched
fo_003_src_01,fo_003,Ohana Advisors,https://www.ohanaadvisors.com/,official_site,True,https://www.ohanaadvisors.com/,False,2866,# Ohana Advisors Scroll ![LOGO RGB_WHITE-01.png](https://images.squarespace-cdn.com/content/v1/5e13b5d791a6e04eb2c037f8/1580141875217-67FISTFGSL4PYTPT9THC/LOGO+RGB_WHITE-01.png) ## Boutique and independent multi-family office.,,,Matched
fo_003_src_02,fo_003,Ohana Advisors,https://www.ohanaadvisors.com/disclosures-form-adv,official_site,True,https://www.ohanaadvisors.com/disclosures-form-adv,False,667,"# Ohana Advisors | Disclosures & Form ADV Ohana Advisors Management, LLC, a California limited liability company doing business as Ohana Advisors (“Ohana” or “the firm”), is a boutique firm providing comprehensive family office and financial services to ultra-high net worth clientele.",,,Matched
fo_004_src_01,fo_004,Longwall Family Office,https://www.longwallfamilyoffice.com/,official_site,True,https://www.longwallfamilyoffice.com/,False,3152,# Portfolio Management Services | Longwall Family Office Many would simply refer to a family office as a private wealth management advisory firm that serves high-net-worth individuals and their families.,,,Matched
fo_004_src_02,fo_004,Longwall Family Office,https://www.longwallfamilyoffice.com/what-we-do,official_site,True,https://www.longwallfamilyoffice.com/what-we-do,False,3183,"# What We Do - Longwall Family Office **We offer three distinct services:** * **Bespoke investment advisory** * **Tax-aware investment strategies** * **Fund management** [DISCOVER](https://www.longwallfamilyoffice.com/) ![](https://irt-cdn.multiscreensite.com/md/dmtmpl/dms3rep/multi/Grunge_white_background.png) ## Investment Advisory Longwall Family Office is a comprehensive investment advisor offering long-term, strategic portfolio management and bespoke wealth strategies tailored to the individual needs of each client.",,,Matched
fo_004_src_03,fo_004,Longwall Family Office,https://www.longwallfamilyoffice.com/disclosures,official_site,True,https://www.longwallfamilyoffice.com/disclosures,False,11130,"# Disclosures | Longwall Family Office ## Important Disclaimers Longwall Investment Partners, LLC (""LIP"") is a Registered Investment Advisor (""RIA""), located in the State of Connecticut.",,,Matched
